batch_id,run_id,participant_set,project_set,weight_profile,method,is_main_method,feasible,objective_score,mean_team_score,min_team_score,max_team_score,fairness_deviation,assigned_count,required_slots,sample_count,feasible_count,objective_score_std,objective_score_min,objective_score_max,mean_team_score_std,mean_team_score_min,mean_team_score_max,min_team_score_std,min_team_score_min,min_team_score_max,max_team_score_std,max_team_score_min,max_team_score_max,fairness_deviation_std,fairness_deviation_min,fairness_deviation_max,participant_count,project_count,total_runtime_seconds
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,thesis,True,True,3.5385843609337555,0.892200319290241,0.8103289473684211,0.9311966122772558,0.12086766490883472,16,16,1,1,,,,,,,,,,,,,,,,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,random,False,True,1.6654072766799008,0.4331250055997077,0.30120659439173136,0.5695775772674508,0.2683709828757195,16,16,30,30,0.21670624439595143,1.2534751182241806,2.075431114834047,0.05651402147725553,0.32156381501324366,0.5463644603737026,0.06020849912788054,0.18386918666944835,0.4147535792757004,0.09125260053238674,0.41138334264107895,0.7629367061317363,0.10536759967014936,0.08872590874517822,0.46356634477495323,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,greedy_fit,False,True,2.80008529986501,0.7047851579549362,0.6685368932449883,0.7447582210639283,0.07622132781893998,16,16,1,1,,,,,,,,,,,,,,,,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,machado_k_rounds,False,True,2.867726455692917,0.7221690435236793,0.6695455671011269,0.7533444407083274,0.08379887360720051,16,16,1,1,,,,,,,,,,,,,,,,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,thesis_no_li,False,True,3.4109030227523975,0.8609702559852513,0.7938245111042195,0.9257365158586515,0.131912004754432,16,16,1,1,,,,,,,,,,,,,,,,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,machado_k_rounds_li,False,True,3.620363116422118,0.9082731364906704,0.8802788941150008,0.9311966122772558,0.05091771816225499,16,16,1,1,,,,,,,,,,,,,,,,240,4,29.96584587599682
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,thesis,True,True,3.6041566022003395,0.9057481966818284,0.871318626510264,0.94666336461816,0.07534473810789599,16,16,1,1,,,,,,,,,,,,,,,,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,random,False,True,1.6818568979237014,0.4369402468277779,0.3123538150898893,0.5759701726395299,0.2636163575496406,16,16,30,30,0.21764074299983124,1.2235725979909493,2.017402434803117,0.05512052904780857,0.31894141261990583,0.5211490896348638,0.07348402388285867,0.19672271872623576,0.47388259278327555,0.0957815825499999,0.4135595129052855,0.7800214060218402,0.11725626996870256,0.05116494942228972,0.47770681270110416,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,greedy_fit,False,True,2.9512490526704807,0.7430773164873707,0.6980444349478252,0.7822852880638345,0.08424085311600926,16,16,1,1,,,,,,,,,,,,,,,,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,machado_k_rounds,False,True,2.9512490526704807,0.7430773164873707,0.6980444349478252,0.7822852880638345,0.08424085311600926,16,16,1,1,,,,,,,,,,,,,,,,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,thesis_no_li,False,True,3.5451512344568963,0.8914701655687759,0.8592397660818714,0.9421574773547008,0.08291771127282943,16,16,1,1,,,,,,,,,,,,,,,,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,machado_k_rounds_li,False,True,3.562322403531617,0.8930796453149786,0.871318626510264,0.9113033374234547,0.03998471091319067,16,16,1,1,,,,,,,,,,,,,,,,240,4,31.561817529998734
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,thesis,True,True,3.5805882855196,0.899882020732448,0.8680094381352862,0.9437686277760547,0.07575918964076855,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.83066471300117
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,random,False,True,1.648832582117091,0.42875055384532174,0.303572341337132,0.5682508743939159,0.26467853305678385,16,16,30,30,0.22068199544592815,1.1790989137804229,1.983241250592591,0.055813957199059724,0.3078229915672742,0.5136490896348639,0.07459233711479292,0.18751219241044625,0.4686194348885387,0.0965858600503587,0.40204635501054864,0.7752845639165771,0.11792242007705654,0.050901791527552864,0.48165418112215674,240,4,24.83066471300117
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,greedy_fit,False,True,2.714405284565131,0.6804317855694688,0.6671684564275798,0.6964558872785561,0.029287430850976293,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.83066471300117
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,machado_k_rounds,False,True,2.714405284565131,0.6804317855694688,0.6671684564275798,0.6964558872785561,0.029287430850976293,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.83066471300117
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,thesis_no_li,False,True,3.5252838689669357,0.8869802978804963,0.8512134502923976,0.9417627405125956,0.09054929022019798,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.83066471300117
